0.2.262.1.10, Telesec
0.2.262.1.10.0, extension
0.2.262.1.10.1, mechanism
0.2.262.1.10.1.0, authentication
0.2.262.1.10.1.0.1, passwordAuthentication
0.2.262.1.10.1.0.2, protectedPasswordAuthentication
0.2.262.1.10.1.0.3, oneWayX509Authentication
0.2.262.1.10.1.0.4, twoWayX509Authentication
0.2.262.1.10.1.0.5, threeWayX509Authentication
0.2.262.1.10.1.0.6, oneWayISO9798Authentication
0.2.262.1.10.1.0.7, twoWayISO9798Authentication
0.2.262.1.10.1.0.8, telekomAuthentication
0.2.262.1.10.1.1, signature
0.2.262.1.10.1.1.1, md4WithRSAAndISO9697
0.2.262.1.10.1.1.2, md4WithRSAAndTelesecSignatureStandard
0.2.262.1.10.1.1.3, md5WithRSAAndISO9697
0.2.262.1.10.1.1.4, md5WithRSAAndTelesecSignatureStandard
0.2.262.1.10.1.1.5, ripemd160WithRSAAndTelekomSignatureStandard
0.2.262.1.10.1.1.9, hbciRsaSignature
0.2.262.1.10.1.2, encryption
0.2.262.1.10.1.2.0, none
0.2.262.1.10.1.2.1, rsaTelesec
0.2.262.1.10.1.2.2, des
0.2.262.1.10.1.2.2.1, desECB
0.2.262.1.10.1.2.2.2, desCBC
0.2.262.1.10.1.2.2.3, desOFB
0.2.262.1.10.1.2.2.4, desCFB8
0.2.262.1.10.1.2.2.5, desCFB64
0.2.262.1.10.1.2.3, des3
0.2.262.1.10.1.2.3.1, des3ECB
0.2.262.1.10.1.2.3.2, des3CBC
0.2.262.1.10.1.2.3.3, des3OFB
0.2.262.1.10.1.2.3.4, des3CFB8
0.2.262.1.10.1.2.3.5, des3CFB64
0.2.262.1.10.1.2.4, magenta
0.2.262.1.10.1.2.5, idea
0.2.262.1.10.1.2.5.1, ideaECB
0.2.262.1.10.1.2.5.2, ideaCBC
0.2.262.1.10.1.2.5.3, ideaOFB
0.2.262.1.10.1.2.5.4, ideaCFB8
0.2.262.1.10.1.2.5.5, ideaCFB64
0.2.262.1.10.1.3, oneWayFunction
0.2.262.1.10.1.3.1, md4
0.2.262.1.10.1.3.2, md5
0.2.262.1.10.1.3.3, sqModNX509
0.2.262.1.10.1.3.4, sqModNISO
0.2.262.1.10.1.3.5, ripemd128
0.2.262.1.10.1.3.6, hashUsingBlockCipher
0.2.262.1.10.1.3.7, mac
0.2.262.1.10.1.3.8, ripemd160
0.2.262.1.10.1.4, fecFunction
0.2.262.1.10.1.4.1, reedSolomon
0.2.262.1.10.10, notification
0.2.262.1.10.11, snmp-mibs
0.2.262.1.10.11.1, securityApplication
0.2.262.1.10.12, certAndCrlExtensionDefinitions
0.2.262.1.10.12.0, liabilityLimitationFlag
0.2.262.1.10.12.1, telesecCertIdExt
0.2.262.1.10.12.2, Telesec policyIdentifier
0.2.262.1.10.12.3, telesecPolicyQualifierID
0.2.262.1.10.12.4, telesecCRLFilteredExt
0.2.262.1.10.12.5, telesecCRLFilterExt
0.2.262.1.10.12.6, telesecNamingAuthorityExt
0.2.262.1.10.2, module
0.2.262.1.10.2.0, algorithms
0.2.262.1.10.2.1, attributeTypes
0.2.262.1.10.2.10, electronicOrder
0.2.262.1.10.2.11, telesecTtpAsymmetricApplication
0.2.262.1.10.2.12, telesecTtpBasisApplication
0.2.262.1.10.2.13, telesecTtpMessages
0.2.262.1.10.2.14, telesecTtpTimeStampApplication
0.2.262.1.10.2.2, certificateTypes
0.2.262.1.10.2.3, messageTypes
0.2.262.1.10.2.4, plProtocol
0.2.262.1.10.2.5, smeAndComponentsOfSme
0.2.262.1.10.2.6, fec
0.2.262.1.10.2.7, usefulDefinitions
0.2.262.1.10.2.8, stefiles
0.2.262.1.10.2.9, sadmib
0.2.262.1.10.3, objectClass
0.2.262.1.10.3.0, telesecOtherName
0.2.262.1.10.3.1, directory
0.2.262.1.10.3.2, directoryType
0.2.262.1.10.3.3, directoryGroup
0.2.262.1.10.3.4, directoryUser
0.2.262.1.10.3.5, symmetricKeyEntry
0.2.262.1.10.4, package
0.2.262.1.10.5, parameter
0.2.262.1.10.6, nameBinding
0.2.262.1.10.7, attribute
0.2.262.1.10.7.0, applicationGroupIdentifier
0.2.262.1.10.7.1, certificateType
0.2.262.1.10.7.10, subject
0.2.262.1.10.7.11, timeOfRevocation
0.2.262.1.10.7.12, userGroupReference
0.2.262.1.10.7.13, validity
0.2.262.1.10.7.14, zert93
0.2.262.1.10.7.15, securityMessEnv
0.2.262.1.10.7.16, anonymizedPublicKeyDirectory
0.2.262.1.10.7.17, telesecGivenName
0.2.262.1.10.7.18, nameAdditions
0.2.262.1.10.7.19, telesecPostalCode
0.2.262.1.10.7.2, telesecCertificate
0.2.262.1.10.7.20, nameDistinguisher
0.2.262.1.10.7.21, telesecCertificateList
0.2.262.1.10.7.22, teletrustCertificateList
0.2.262.1.10.7.23, x509CertificateList
0.2.262.1.10.7.24, timeOfIssue
0.2.262.1.10.7.25, physicalCardNumber
0.2.262.1.10.7.26, fileType
0.2.262.1.10.7.27, ctlFileIsArchive
0.2.262.1.10.7.28, emailAddress
0.2.262.1.10.7.29, certificateTemplateList
0.2.262.1.10.7.3, certificateNumber
0.2.262.1.10.7.30, directoryName
0.2.262.1.10.7.31, directoryTypeName
0.2.262.1.10.7.32, directoryGroupName
0.2.262.1.10.7.33, directoryUserName
0.2.262.1.10.7.34, revocationFlag
0.2.262.1.10.7.35, symmetricKeyEntryName
0.2.262.1.10.7.36, glNumber
0.2.262.1.10.7.37, goNumber
0.2.262.1.10.7.38, gKeyData
0.2.262.1.10.7.39, zKeyData
0.2.262.1.10.7.4, certificateRevocationList
0.2.262.1.10.7.40, ktKeyData
0.2.262.1.10.7.41, ktKeyNumber
0.2.262.1.10.7.5, creationDate
0.2.262.1.10.7.51, timeOfRevocationGen
0.2.262.1.10.7.52, liabilityText
0.2.262.1.10.7.6, issuer
0.2.262.1.10.7.7, namingAuthority
0.2.262.1.10.7.8, publicKeyDirectory
0.2.262.1.10.7.9, securityDomain
0.2.262.1.10.8, attributeGroup
0.2.262.1.10.9, action
0.4.0.127.0.7, bsi-de
0.4.0.127.0.7.1, bsiEcc
0.4.0.127.0.7.1.1, id-ecc
0.4.0.127.0.7.1.1.1, bsiPrimeField
0.4.0.127.0.7.1.1.2, bsiCharacteristicTwoField
0.4.0.127.0.7.1.1.2.2, id-ecTLVKeyFormat
0.4.0.127.0.7.1.1.2.2.1, id-ecTLVPublicKey
0.4.0.127.0.7.1.1.2.3, bsiCharacteristicTwoBasis
0.4.0.127.0.7.1.1.2.3.1, bsiGnBasis
0.4.0.127.0.7.1.1.2.3.2, bsiTpBasis
0.4.0.127.0.7.1.1.2.3.3, bsiPpBasis
0.4.0.127.0.7.1.1.4.1, ecdsa-plain-signatures
0.4.0.127.0.7.1.1.4.1.1, ecdsa-plain-SHA1
0.4.0.127.0.7.1.1.4.1.2, ecdsa-plain-SHA224
